	Individual ID	Mutation Type	Total	Shared Count	Shared	FFPE Only Count	FFPE Only
0	H134753	SNVs	13276	2488	0.18740584513407652	10788	0.8125941548659235
1	H135022	SNVs	95003	3003	0.031609528120164626	92000	0.9683904718798354
2	H135387	SNVs	5244	2487	0.4742562929061785	2757	0.5257437070938215
3	H156407	SNVs	6603	4487	0.6795396032106619	2116	0.3204603967893382
4	H158273	SNVs	9689	2397	0.24739395190422128	7292	0.7526060480957787
5	H158878	SNVs	52228	1333	0.025522708125909475	50895	0.9744772918740905
6	H158880	SNVs	2602	1168	0.4488854727132975	1434	0.5511145272867025
7	H158918	SNVs	11670	34	0.002913453299057412	11636	0.9970865467009425
8	H159369	SNVs	4201	2378	0.5660557010235658	1823	0.43394429897643416
9	H135462	SNVs	63730	26062	0.4089439824258591	37668	0.591056017574141
10	H201536	SNVs	155886	7377	0.0473230437627497	148509	0.9526769562372503
11	H201537	SNVs	268746	7041	0.02619945971288875	261705	0.9738005402871113
12	H201538	SNVs	118905	4770	0.0401160590387284	114135	0.9598839409612716
13	H201539	SNVs	270302	7021	0.025974650576022374	263281	0.9740253494239777
14	H201540	SNVs	113762	7604	0.06684130025843428	106158	0.9331586997415657
15	H201542	SNVs	111069	8733	0.07862679955703211	102336	0.9213732004429679
16	H203495	SNVs	66971	4349	0.06493855549416912	62622	0.9350614445058308
17	H203498	SNVs	20788	1845	0.08875312680392534	18943	0.9112468731960747
18	H203499	SNVs	41045	39572	0.9641125593860397	1473	0.035887440613960285
19	H203500	SNVs	50011	34838	0.6966067465157665	15173	0.30339325348423346
20	H203501	SNVs	18259	6982	0.3823867681691221	11277	0.6176132318308779
21	H203502	SNVs	9305	7572	0.8137560451370232	1733	0.1862439548629769
22	H203503	SNVs	29612	11479	0.38764689990544376	18133	0.6123531000945562
23	H203504	SNVs	77275	67466	0.8730637334196053	9809	0.1269362665803947
24	H203505	SNVs	6218	1191	0.19154068832422	5027	0.80845931167578
25	H203506	SNVs	6012	1827	0.30389221556886226	4185	0.6961077844311377
26	H203507	SNVs	26457	7818	0.29549835582265566	18639	0.7045016441773444
27	H203508	SNVs	99861	87202	0.8732337949750153	12659	0.12676620502498473
28	H203511	SNVs	44504	40196	0.9031997123854035	4308	0.09680028761459644
29	H203512	SNVs	23586	5260	0.22301365216653948	18326	0.7769863478334605
30	H203513	SNVs	40593	9996	0.24624935333678222	30597	0.7537506466632178
31	H203514	SNVs	27203	4861	0.17869352644928868	22342	0.8213064735507113
32	H203515	SNVs	11249	8185	0.727620232909592	3064	0.272379767090408
33	H203516	SNVs	26464	13421	0.507141777509069	13043	0.4928582224909311
34	H203517	SNVs	25690	17193	0.6692487349163099	8497	0.3307512650836901
35	H203518	SNVs	9509	2148	0.22589126091071615	7361	0.7741087390892838
36	H203519	SNVs	21558	4449	0.20637350403562482	17109	0.7936264959643752
37	H203520	SNVs	29242	9303	0.3181382942343205	19939	0.6818617057656795
38	H203522	SNVs	148709	5823	0.03915701134430331	142886	0.9608429886556967
39	H203523	SNVs	12825	7676	0.5985185185185186	5149	0.4014814814814815
40	H203524	SNVs	39235	26727	0.681203007518797	12508	0.318796992481203
41	H203525	SNVs	11704	4224	0.3609022556390977	7480	0.6390977443609023
42	H203526	SNVs	1463155	1344398	0.9188349833066216	118757	0.08116501669337835
43	H203527	SNVs	9533	7088	0.7435225007867408	2445	0.2564774992132592
44	H203530	SNVs	9753	3661	0.37537168050856146	6092	0.6246283194914385
45	H203531	SNVs	6899	2979	0.43180171039281057	3920	0.5681982896071894
46	H203532	SNVs	7240	4675	0.6457182320441989	2565	0.35428176795580113
47	H203533	SNVs	4179	3369	0.8061737257717158	810	0.19382627422828427
48	H203534	SNVs	35288	1266	0.03587621854454772	34022	0.9641237814554523
49	H203535	SNVs	10971	9432	0.859721082854799	1539	0.140278917145201
50	H203537	SNVs	11727	8153	0.6952332224780421	3574	0.30476677752195785
51	H203539	SNVs	68277	66274	0.9706636202527937	2003	0.029336379747206234
52	H203540	SNVs	23428	4408	0.18815093051050025	19020	0.8118490694894998
53	H203541	SNVs	2506	1710	0.6823623304070231	796	0.31763766959297685
54	H203542	SNVs	49101	8055	0.16404961202419502	41046	0.835950387975805
55	H203544	SNVs	18080	6786	0.37533185840707967	11294	0.6246681415929204
0	H134753	Indels	3372	351	0.10409252669039146	3021	0.8959074733096085
1	H135022	Indels	1689	194	0.11486086441681469	1495	0.8851391355831854
2	H135387	Indels	1682	193	0.11474435196195006	1489	0.8852556480380499
3	H156407	Indels	1708	436	0.25526932084309134	1272	0.7447306791569087
4	H158273	Indels	1770	279	0.1576271186440678	1491	0.8423728813559322
5	H158878	Indels	2347	323	0.1376224968044312	2024	0.8623775031955688
6	H158880	Indels	2368	699	0.2951858108108108	1669	0.7048141891891891
7	H158918	Indels	1104	20	0.018115942028985508	1084	0.9818840579710145
8	H159369	Indels	1302	203	0.15591397849462366	1099	0.8440860215053764
9	H135462	Indels	3709	2608	0.7031544890806147	1101	0.29684551091938527
10	H201536	Indels	2161	809	0.3743637204997686	1352	0.6256362795002314
11	H201537	Indels	2262	770	0.34040671971706454	1492	0.6595932802829354
12	H201538	Indels	1360	249	0.18308823529411763	1111	0.8169117647058823
13	H201539	Indels	2272	726	0.31954225352112675	1546	0.6804577464788732
14	H201540	Indels	3945	840	0.21292775665399238	3105	0.7870722433460076
15	H201542	Indels	1639	629	0.3837705918242831	1010	0.6162294081757169
16	H203495	Indels	3885	780	0.20077220077220076	3105	0.7992277992277992
17	H203498	Indels	2403	256	0.10653349979192676	2147	0.8934665002080733
18	H203499	Indels	4339	2453	0.5653376353998617	1886	0.4346623646001383
19	H203500	Indels	4107	1532	0.3730216703189676	2575	0.6269783296810324
20	H203501	Indels	3476	1289	0.37082853855005754	2187	0.6291714614499425
21	H203502	Indels	2519	843	0.33465660976578004	1676	0.66534339023422
22	H203503	Indels	4853	2160	0.44508551411498043	2693	0.5549144858850196
23	H203504	Indels	4314	1962	0.45479833101529904	2352	0.545201668984701
24	H203505	Indels	1712	151	0.08820093457943926	1561	0.9117990654205608
25	H203506	Indels	2447	408	0.16673477727829997	2039	0.8332652227217
26	H203507	Indels	3345	1351	0.4038863976083707	1994	0.5961136023916292
27	H203508	Indels	196307	149315	0.7606198454461635	46992	0.2393801545538366
28	H203511	Indels	3460	1633	0.47196531791907514	1827	0.5280346820809249
29	H203512	Indels	2535	403	0.15897435897435896	2132	0.841025641025641
30	H203513	Indels	5453	2134	0.39134421419402166	3319	0.6086557858059783
31	H203514	Indels	2740	682	0.2489051094890511	2058	0.7510948905109489
32	H203515	Indels	3087	797	0.2581794622610949	2290	0.7418205377389051
33	H203516	Indels	14039	5434	0.38706460574114965	8605	0.6129353942588504
34	H203517	Indels	5043	2166	0.42950624628197503	2877	0.570493753718025
35	H203518	Indels	2627	243	0.09250095165588124	2384	0.9074990483441188
36	H203519	Indels	2771	554	0.19992782389029232	2217	0.8000721761097077
37	H203520	Indels	4670	1917	0.41049250535331905	2753	0.589507494646681
38	H203522	Indels	4229	1359	0.3213525656183495	2870	0.6786474343816505
39	H203523	Indels	2714	749	0.2759764185703758	1965	0.7240235814296242
40	H203524	Indels	2378	473	0.19890664423885618	1905	0.8010933557611438
41	H203525	Indels	2350	416	0.17702127659574468	1934	0.8229787234042554
42	H203526	Indels	92355	84229	0.9120134264522766	8126	0.08798657354772346
43	H203527	Indels	3038	1233	0.4058591178406847	1805	0.5941408821593154
44	H203530	Indels	2428	394	0.16227347611202636	2034	0.8377265238879736
45	H203531	Indels	2444	439	0.17962356792144027	2005	0.8203764320785597
46	H203532	Indels	2778	1027	0.3696904247660187	1751	0.6303095752339812
47	H203533	Indels	1946	528	0.27132579650565264	1418	0.7286742034943474
48	H203534	Indels	2355	111	0.04713375796178344	2244	0.9528662420382166
49	H203535	Indels	3090	952	0.3080906148867314	2138	0.6919093851132686
50	H203537	Indels	4997	2275	0.455273163898339	2722	0.544726836101661
51	H203539	Indels	3635	727	0.2	2908	0.8
52	H203540	Indels	6404	1067	0.16661461586508433	5337	0.8333853841349157
53	H203541	Indels	1619	236	0.1457689932056825	1383	0.8542310067943175
54	H203542	Indels	6664	2723	0.40861344537815125	3941	0.5913865546218487
55	H203544	Indels	5986	2501	0.4178082191780822	3485	0.5821917808219178
0	H134753	SVs	19	16	0.8421052631578947	3	0.15789473684210525
1	H135022	SVs	493	443	0.8985801217038539	50	0.10141987829614604
2	H135387	SVs	116	104	0.896551724137931	12	0.10344827586206896
3	H156407	SVs	32	31	0.96875	1	0.03125
4	H158273	SVs	232	226	0.9741379310344828	6	0.02586206896551724
5	H158878	SVs	7	7	1.0	0	0.0
6	H158880	SVs	170	117	0.6882352941176471	53	0.31176470588235294
7	H158918	SVs	0	0	1.0	0	0.0
8	H159369	SVs	354	326	0.9209039548022598	28	0.07909604519774012
9	H135462	SVs	399	391	0.9799498746867168	8	0.020050125313283207
10	H201536	SVs	104	95	0.9134615384615384	9	0.08653846153846154
11	H201537	SVs	37	36	0.972972972972973	1	0.02702702702702703
12	H201538	SVs	86	85	0.9883720930232558	1	0.011627906976744186
13	H201539	SVs	251	243	0.9681274900398407	8	0.03187250996015936
14	H201540	SVs	229	218	0.9519650655021834	11	0.048034934497816595
15	H201542	SVs	119	116	0.9747899159663865	3	0.025210084033613446
16	H203495	SVs	4	3	0.75	1	0.25
17	H203498	SVs	29	29	1.0	0	0.0
18	H203499	SVs	111	99	0.8918918918918919	12	0.10810810810810811
19	H203500	SVs	11	7	0.6363636363636364	4	0.36363636363636365
20	H203501	SVs	2	1	0.5	1	0.5
21	H203502	SVs	408	317	0.7769607843137255	91	0.22303921568627452
22	H203503	SVs	30	24	0.8	6	0.2
23	H203504	SVs	183	50	0.273224043715847	133	0.726775956284153
24	H203505	SVs	6	4	0.6666666666666666	2	0.3333333333333333
25	H203506	SVs	66	61	0.9242424242424242	5	0.07575757575757576
26	H203507	SVs	25	11	0.44	14	0.56
27	H203508	SVs	125	114	0.912	11	0.088
28	H203511	SVs	145	107	0.7379310344827587	38	0.2620689655172414
29	H203512	SVs	261	190	0.7279693486590039	71	0.2720306513409962
30	H203513	SVs	19	7	0.3684210526315789	12	0.631578947368421
31	H203514	SVs	3	2	0.6666666666666666	1	0.3333333333333333
32	H203515	SVs	89	80	0.898876404494382	9	0.10112359550561797
33	H203516	SVs	33	17	0.5151515151515151	16	0.48484848484848486
34	H203517	SVs	64	35	0.546875	29	0.453125
35	H203518	SVs	87	28	0.3218390804597701	59	0.6781609195402298
36	H203519	SVs	5	5	1.0	0	0.0
37	H203520	SVs	35	23	0.6571428571428571	12	0.34285714285714286
38	H203522	SVs	3	2	0.6666666666666666	1	0.3333333333333333
39	H203523	SVs	481	312	0.6486486486486487	169	0.35135135135135137
40	H203524	SVs	681	436	0.6402349486049926	245	0.35976505139500736
41	H203525	SVs	173	160	0.9248554913294798	13	0.07514450867052024
42	H203526	SVs	5	5	1.0	0	0.0
43	H203527	SVs	28	28	1.0	0	0.0
44	H203530	SVs	22	13	0.5909090909090909	9	0.4090909090909091
45	H203531	SVs	89	63	0.7078651685393258	26	0.29213483146067415
46	H203532	SVs	3	3	1.0	0	0.0
47	H203533	SVs	12	12	1.0	0	0.0
48	H203534	SVs	0	0	1.0	0	0.0
49	H203535	SVs	10	6	0.6	4	0.4
50	H203537	SVs	57	49	0.8596491228070176	8	0.14035087719298245
51	H203539	SVs	19	17	0.8947368421052632	2	0.10526315789473684
52	H203540	SVs	3	3	1.0	0	0.0
53	H203541	SVs	30	25	0.8333333333333334	5	0.16666666666666666
54	H203542	SVs	35	22	0.6285714285714286	13	0.37142857142857144
55	H203544	SVs	322	279	0.8664596273291926	43	0.13354037267080746
